,Unnamed: 0,food,Caloric Value,Fat,Saturated Fats,Monounsaturated Fats,Polyunsaturated Fats,Carbohydrates,Sugars
319,319,sandwich with cold cuts,833,39.3,13.9,14.5,7.5,79.9,12.4
320,320,filet o fish mcdonalds,378,19.6,3.8,5.4,8,35.4,4.9
321,321,hand breaded chicken tenders carls jr,57,2.9,0.6,2.9,5.5,0.2,0.0
322,322,grilled chicken sandwich wendys,370,8,42,34,0.0,0.0,0.0
323,323,sandwich with roast beef,410,13,7.1,1.8,2.6,44.3,0
324,324,hamburger burger king,258,10.4,3.8,4.2,1.2,26.5,5.5
325,325,big n tasty mcdonalds,524,31.7,8.6,9.7,6.9,38.5,8.8
326,326,roast beef sandwich,364,15.3,5.1,5.9,2.6,33.1,5.7
327,327,roast beef sandwich with cheese,473,18,9,3.7,3.5,45.4,0
328,328,hamburger,255,9.9,3.5,3.7,1.3,28.7,5.8
329,329,premium fish sandwich burger king,572,27.4,4.3,5.7,13.8,58.7,7.8
330,330,whopper burger king,790,48.4,18.3,16,12,52.8,13
331,331,sandwich with tuna salad,584,28,5.3,13.4,7.3,55.4,0
332,332,original chicken sandwich burger king,569,29.2,5.4,7.4,14.4,52.2,6
333,333,double whopper burger king,942,58.6,21.6,22.9,11.3,51.4,13.2
334,334,premium crispy chicken club sandwich mcdonalds,635,29.9,8.5,10.7,9,57.4,12.7
335,335,hamburger mcdonalds,251,9.6,3.3,3.6,1.3,28.8,5.7
336,336,pepperoni pizza dominos,308,12.6,5.4,3.8,2.4,36,4.2
337,337,sausage pizza,325,14.3,5.8,4.7,2.7,35.5,3.9
338,338,pepperoni pizza,313,13.2,5.7,4.3,2.3,35.5,3.6
339,339,pepperoni pizza pizza hut,269,10.9,5,3.9,2,30.3,3.5
340,340,cheese pizza pizza hut,260,10.5,4.8,2.8,1.8,30,3.2
341,341,cheese pizza,285,10.4,4.8,2.8,1.8,35.7,3.8
342,342,cheese pizza dominos,278,9.7,4.4,2.3,2,35.9,4.3
343,343,meat vegetable pizza,332,14.8,6,5.2,2.6,34.5,5.1
344,344,sucker raw,146,3.7,0.7,1.1,1.3,0,0
345,345,northern pike raw,348,2.7,0.5,0.6,0.8,0,0
346,346,haddock cooked,135,0.8,0.2,0.1,0.3,0,0
347,347,burbot cooked,104,0.9,0.2,0.2,0.3,0,0
348,348,pollock cooked,356,3.8,0.5,0.4,1.9,0,0
349,349,rainbow smelt raw,27,0.7,0.1,0.2,0.3,0,0
350,350,whitefish cooked,265,11.6,1.8,3.9,4.2,0,0
351,351,walleye pike raw,148,1.9,0.4,0.5,0.7,0,0
352,352,carp cooked,275,12.2,2.4,5.1,3.1,0,0
353,353,wolffish cooked,293,7.3,1.1,2.6,2.6,0,0
354,354,snapper cooked,218,2.9,0.6,0.5,1,0,0
355,355,roe cooked,58,2.3,0.5,0.6,1,0.5,0
356,356,anchovy raw,37,1.4,0.4,0.3,0.5,0,0
357,357,herring raw,291,16.6,3.8,6.9,3.9,0,0
358,358,cod raw,189,1.5,0.3,0.2,0.5,0,0
359,359,tilapia raw,111,2,0.7,0.6,0.4,0,0
360,360,whiting cooked,84,1.2,0.3,0.3,0.4,0,0
361,361,skipjack tuna cooked,407,4,1.3,0.7,1.2,0,0
362,362,salmon cooked,733,44,8.5,14.9,16.2,0,0
363,363,chum salmon cooked,474,14.9,3.3,6.1,3.5,0,0
364,364,american shad cooked,363,25.4,0,0,0,0,0
365,365,shark cooked,65,3.9,0.9,1.7,1,1.8,0
366,366,trout cooked,118,5.3,0.9,2.6,1.2,0,0
